rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job5/Task7.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task2-13.in.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task13.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task4.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task12.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task8.out.mat’: Stale file handle

                            < M A T L A B (R) >
                  Copyright 1984-2019 The MathWorks, Inc.
              R2019b Update 3 (9.7.0.1261785) 64-bit (glnxa64)
                             November 27, 2019

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> 
OptCase =

    'Optimmay4'

>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 13).
>> >> >> >> >> >> >> bgc1d_iteration - cost : 0.036089
bgc1d_iteration - cost : 0.024052
bgc1d_iteration - cost : 0.011236
bgc1d_iteration - cost : 0.077065
bgc1d_iteration - cost : 0.01986
bgc1d_iteration - cost : 0.011546
bgc1d_iteration - cost : 0.043806
bgc1d_iteration - cost : 0.014636
bgc1d_iteration - cost : 0.01288
bgc1d_iteration - cost : 0.023853
bgc1d_iteration - cost : 0.016968
bgc1d_iteration - cost : 0.010858
bgc1d_iteration - cost : 0.037948
bgc1d_iteration - cost : 0.013718
bgc1d_iteration - cost : 0.016875
bgc1d_iteration - cost : 0.021763
bgc1d_iteration - cost : 0.017492
bgc1d_iteration - cost : 0.01706
bgc1d_iteration - cost : 0.029404
bgc1d_iteration - cost : 0.017349
bgc1d_iteration - cost : 0.060217
bgc1d_iteration - cost : 0.016482
bgc1d_iteration - cost : 0.011836
bgc1d_iteration - cost : 0.013283
bgc1d_iteration - cost : 0.016131
bgc1d_iteration - cost : 0.015064
bgc1d_iteration - cost : 0.014681
bgc1d_iteration - cost : 0.012139
bgc1d_iteration - cost : 0.015581
bgc1d_iteration - cost : 0.015976
bgc1d_iteration - cost : 0.013184
bgc1d_iteration - cost : 2647058.8245
bgc1d_iteration - cost : 0.032646
bgc1d_iteration - cost : 0.014014
bgc1d_iteration - cost : 0.013138
bgc1d_iteration - cost : 0.014409
bgc1d_iteration - cost : 0.016524
bgc1d_iteration - cost : 0.016781
bgc1d_iteration - cost : 0.012034
bgc1d_iteration - cost : 0.025365
bgc1d_iteration - cost : 0.012236
bgc1d_iteration - cost : 0.011062
bgc1d_iteration - cost : 0.01744
bgc1d_iteration - cost : 0.057604
bgc1d_iteration - cost : 0.011153
bgc1d_iteration - cost : 0.016275
bgc1d_iteration - cost : 0.018533
bgc1d_iteration - cost : 0.012987
bgc1d_iteration - cost : 0.014838
bgc1d_iteration - cost : 0.013464
bgc1d_iteration - cost : 0.014305
bgc1d_iteration - cost : 0.013322
bgc1d_iteration - cost : 0.017953
bgc1d_iteration - cost : 0.035173
bgc1d_iteration - cost : 0.01249
